Quantity,Reference,Value,PCB Footprint,Part Number,Manufacturer,Description,Part Number_alternative,Manufacturer_alternative
2,"R263,R267",100K,R0402,ERJ-2RKF1003X,Panasonic Electronic Components,RES SMD 100K OHM 1% 1/10W 0402,ERJ-2RKF1003X,Panasonic Electronic Components
1,R264,20K,R0402,AC0402FR-0720KL,YAGEO,RES SMD 20K OHM 1% 1/16W 0402,"AC0402FR-0720KL, ERJ-2RKF2002X","YAGEO, Panasonic Electronic Components"
2,"R268,R269",0E,R0402,RC0402JR-070RP,YAGEO,RES SMD 0 OHM JUMPER 1/16W 0402,"AC0402FR-070RL, ERJ-2GE0R00X, RC0402JR-070RP","YAGEO, Panasonic Electronic Components"
2,"R275,R276",1K,R0402,RC0402JR-071KP,YAGEO,RES SMD 1K OHM 5% 1/16W 0402,"ERJ-2RKF1001X, RC0402JR-071KP","YAGEO, Panasonic Electronic Components"
1,R277,0,R0402,AC0402FR-070RL,YAGEO,RES SMD 0 OHM 1% 1/10W 0402,AC0402FR-070RL,"YAGEO, Panasonic Electronic Components"
1,SW4,SW_REED,CT10-XXXX-G1_COT,CT10-2540-G1,Coto,Molded Body Reed Switch SPST-NO 25 ~ 40AT Operate Range 10W 500mA (AC/DC) 140 V Surface Mount,CT10-2540-G1,Coto
2,"SW5,SW6",SW_PB_SPST,TACTILE_SWITCH_3X4X2MM_SMD_2-PIN,KSTS0761,KTRON,TACTILE_SWITCH_3X4X2MM_SMD_2-PIN,KSTS0761,KTRON
1,U4,AT25XE041D-MAHN-T,PSON50P200X300X60-9N,AT25XE041D-MAHN-T,Adesto Technologies,FLASH - NOR Memory IC 4Mbit SPI - Quad I/O 104 MHz 8-UDFN (2x3),AT25XE041D-MAHN-T,Adesto Technologies
1,U25,TXU0204BQAR,WQFN_04BQAR_TEX-M,TXU0204BQAR,Texas Instruments,FOUR CHANNEL UNIDIRECTIONAL LEVE,TXU0204BQAR,Texas Instruments
1,U28,BC65,BC65_QWS,BC65PB-04-STD,Quectel,RF TXRX MOD CELLULAR SMD,BC65PB-04-STD,Quectel
1,U39,TLV70333DBVR,DBV0005A_N,TLV70333DBVR,Texas Instruments,IC REG LINEAR 3.3V 300MA SOT23-5,TLV70333DBVR,Texas Instruments
1,U40,ST4SIM-200M,SON127P600X500X100-9N,nan,,,ST4SI2M0004TPIFW,STMicroelectronics
1,U41,82402305,DBV6_TEX,82402305,WÃ¼rth Elektronik,TVS DIODE 5VWM 6.8VC SOT23-6L,82402305,WÃ¼rth Elektronik
1,U42,NRF52810-QCAA-T,QFN32_5X5_NOR,NRF52810-QCAA-T,Nordic Semiconductor,IC RF TxRx + MCU Bluetooth Bluetooth v5.0 2.4GHz 32-VFQFN Exposed Pad,NRF52810-QCAA-T,Nordic Semiconductor
1,U43,TLV61070A,SOT23-6,TLV61070ADBVR,Texas Instruments,5-V 2-A boost converter with 0.5-V minimum input voltage,TLV61070ADBVR,Texas Instruments
1,U45,BVSS123LT1G,SOT-23-3_1P4X3P040_ONS,BVSS123LT1G,onsemi,MOSFET NFET 100V 170MA 6OH,BVSS123LT1G,onsemi
1,U46,TMUX1309BQBR,WQFN_309BQBR_TEX,TMUX1309BQBR,Texas Instruments,"Automotive 5-V, 4:1, two-channel multiplexer with injection control and 1.8-V logic",TMUX1309BQBR,Texas Instruments
1,Y1,32MHZ,XTAL160X120X50-4N,8Q-32.000METV-T,TXC CORPORATION,"32 MHz Â±10ppm Crystal 8pF 80 Ohms 4-SMD, No Lead",8Q-32.000METV-T,TXC CORPORATION
1,Y2,32.768KHZ,XTAL200X120X60-2N,FC-135 32.7680KA-AC0,EPSON,CRYSTAL 32.7680KHZ 9PF SMD,"CM8V-T1A-32.768KHZ-7PF-20PPM-TA-QC, FC-135 32.7680KA-AC0","EPSON, Micro Crystal AG"
