Quantity,Reference,Value,PCB Footprint,Part Number,Manufacturer,Description
1,SW4,SW_REED,CT10-XXXX-G1_COT,,,
2,"SW5,SW6",SW_PB_SPST,TACTILE_SWITCH_3X4X2MM_SMD_2-PIN,KSTS0761,KTRON,TACTILE_SWITCH_3X4X2MM_SMD_2-PIN
1,U4,AT25XE041D-MAHN-T,PSON50P200X300X60-9N,AT25XE041D-MAHN-T,Adesto Technologies,FLASH - NOR Memory IC 4Mbit SPI - Quad I/O 104 MHz 8-UDFN (2x3)
1,U4,AT25XE041D-MAHN-T,PSON50P200X300X60-9N,AT25XE041D-MAHN-T,Adesto Technologies,FLASH - NOR Memory IC 4Mbit SPI - Quad I/O 104 MHz 8-UDFN (2x3)
1,U25,TXU0204BQAR,WQFN_04BQAR_TEX-M,,,
1,U28,BC65,BC65_QWS,BC65PB-04-STD,Quectel,RF TXRX MOD CELLULAR SMD
1,U39,TLV70333DBVR,DBV0005A_N,TLV70333DBVR,Texas Instruments,IC REG LINEAR 3.3V 300MA SOT23-5
1,U40,ST4SIM-200M,SON127P600X500X100-9N,,,
1,U41,,DBV6_TEX,,,
1,U42,NRF52810-QCAA-T,QFN32_5X5_NOR,NRF52810-QCAA-T,Nordic Semiconductor,IC RF TxRx + MCU Bluetooth Bluetooth v5.0 2.4GHz 32-VFQFN Exposed Pad
1,U43,TLV61070A,SOT23-6,,,
1,U45,BVSS123LT1G,SOT-23-3_1P4X3P040_ONS,BVSS123LT1G,onsemi,MOSFET NFET 100V 170MA 6OH
1,U46,TMUX1309BQBR,WQFN_309BQBR_TEX,TMUX1309BQBR,Texas Instruments,"Automotive 5-V, 4:1, two-channel multiplexer with injection control and 1.8-V logic"
1,Y1,32MHZ,XTAL160X120X50-4N,,,
1,Y2,32.768KHZ,XTAL200X120X60-2N,,,
